,SPRADDR_ZIP_PR,SEMESTER,IRO_INSTITUTION_DESCL,ENROLLMENT,YEAR
17064,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17065,TN,Fall 2018,University of Hawai`i at Manoa,1,2018
17066,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17067,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17068,HI,Fall 2018,University of Hawai`i at Manoa,2,2018
17069,HI,Fall 2018,University of Hawai`i at Manoa,1,2018
17070,HI,Fall 2018,University of Hawai`i at Manoa,1,2018
17071,CA,Fall 2018,University of Hawai`i at Manoa,2,2018
17072,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17073,NM,Fall 2018,University of Hawai`i at Manoa,2,2018
17074,MS,Fall 2018,University of Hawai`i at Manoa,1,2018
17075,MI,Fall 2018,University of Hawai`i at Manoa,2,2018
17076,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17077,OH,Fall 2018,University of Hawai`i at Manoa,1,2018
17078,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17079,TX,Fall 2018,University of Hawai`i at Manoa,1,2018
17080,ID,Fall 2018,University of Hawai`i at Manoa,3,2018
17081,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17082,MI,Fall 2018,University of Hawai`i at Manoa,1,2018
17083,HI,Fall 2018,University of Hawai`i at Manoa,1,2018
17084,VA,Fall 2018,University of Hawai`i at Manoa,1,2018
17085,CA,Fall 2018,University of Hawai`i at Manoa,3,2018
17086,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17087,WY,Fall 2018,University of Hawai`i at Manoa,1,2018
17088,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17089,CO,Fall 2018,University of Hawai`i at Manoa,1,2018
17090,nan,Fall 2018,University of Hawai`i at Manoa,1,2018
17091,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17092,SD,Fall 2018,University of Hawai`i at Manoa,1,2018
17093,CT,Fall 2018,University of Hawai`i at Manoa,1,2018
17094,OR,Fall 2018,University of Hawai`i at Manoa,1,2018
17095,CA,Fall 2018,University of Hawai`i at Manoa,2,2018
17096,HI,Fall 2018,University of Hawai`i at Manoa,3,2018
17097,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17098,CA,Fall 2018,University of Hawai`i at Manoa,2,2018
17099,HI,Fall 2018,University of Hawai`i at Manoa,1,2018
17100,HI,Fall 2018,University of Hawai`i at Manoa,2,2018
17101,CA,Fall 2018,University of Hawai`i at Manoa,4,2018
17102,WI,Fall 2018,University of Hawai`i at Manoa,1,2018
17103,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17104,WA,Fall 2018,University of Hawai`i at Manoa,1,2018
17105,ID,Fall 2018,University of Hawai`i at Manoa,1,2018
17106,NH,Fall 2018,University of Hawai`i at Manoa,1,2018
17107,WA,Fall 2018,University of Hawai`i at Manoa,1,2018
17108,WA,Fall 2018,University of Hawai`i at Manoa,1,2018
17109,HI,Fall 2018,University of Hawai`i at Manoa,4,2018
17110,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17111,HI,Fall 2018,University of Hawai`i at Manoa,2,2018
17112,HI,Fall 2018,University of Hawai`i at Manoa,2,2018
17113,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17114,HI,Fall 2018,University of Hawai`i at Manoa,1,2018
17115,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17116,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17117,CT,Fall 2018,University of Hawai`i at Manoa,1,2018
17118,HI,Fall 2018,University of Hawai`i at Manoa,3,2018
17119,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17120,CO,Fall 2018,University of Hawai`i at Manoa,1,2018
17121,MI,Fall 2018,University of Hawai`i at Manoa,1,2018
17122,CA,Fall 2018,University of Hawai`i at Manoa,2,2018
17123,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17124,FL,Fall 2018,University of Hawai`i at Manoa,1,2018
17125,HI,Fall 2018,University of Hawai`i at Manoa,2,2018
17126,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17127,CO,Fall 2018,University of Hawai`i at Manoa,1,2018
17128,CO,Fall 2018,University of Hawai`i at Manoa,1,2018
17129,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17130,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17131,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17132,CA,Fall 2018,University of Hawai`i at Manoa,4,2018
17133,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17134,ID,Fall 2018,University of Hawai`i at Manoa,1,2018
17135,CO,Fall 2018,University of Hawai`i at Manoa,1,2018
17136,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17137,VA,Fall 2018,University of Hawai`i at Manoa,1,2018
17138,AZ,Fall 2018,University of Hawai`i at Manoa,1,2018
17139,MI,Fall 2018,University of Hawai`i at Manoa,1,2018
17140,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17141,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17142,OR,Fall 2018,University of Hawai`i at Manoa,1,2018
17143,HI,Fall 2018,University of Hawai`i at Manoa,1,2018
17144,TX,Fall 2018,University of Hawai`i at Manoa,1,2018
17145,OK,Fall 2018,University of Hawai`i at Manoa,1,2018
17146,CA,Fall 2018,University of Hawai`i at Manoa,2,2018
17147,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17148,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17149,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17150,WY,Fall 2018,University of Hawai`i at Manoa,1,2018
17151,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17152,SC,Fall 2018,University of Hawai`i at Manoa,1,2018
17153,OR,Fall 2018,University of Hawai`i at Manoa,1,2018
17154,HI,Fall 2018,University of Hawai`i at Manoa,1,2018
17155,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17156,CT,Fall 2018,University of Hawai`i at Manoa,1,2018
17157,HI,Fall 2018,University of Hawai`i at Manoa,1,2018
17158,ID,Fall 2018,University of Hawai`i at Manoa,1,2018
17159,OR,Fall 2018,University of Hawai`i at Manoa,1,2018
17160,HI,Fall 2018,University of Hawai`i at Manoa,1,2018
17161,AZ,Fall 2018,University of Hawai`i at Manoa,1,2018
17162,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17163,HI,Fall 2018,University of Hawai`i at Manoa,2,2018
17164,HI,Fall 2018,University of Hawai`i at Manoa,2,2018
17165,NY,Fall 2018,University of Hawai`i at Manoa,1,2018
17166,CA,Fall 2018,University of Hawai`i at Manoa,2,2018
17167,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17168,CO,Fall 2018,University of Hawai`i at Manoa,2,2018
17169,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17170,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17171,SD,Fall 2018,University of Hawai`i at Manoa,1,2018
17172,PA,Fall 2018,University of Hawai`i at Manoa,1,2018
17173,TX,Fall 2018,University of Hawai`i at Manoa,1,2018
17174,CO,Fall 2018,University of Hawai`i at Manoa,1,2018
17175,CO,Fall 2018,University of Hawai`i at Manoa,1,2018
17176,DE,Fall 2018,University of Hawai`i at Manoa,1,2018
17177,MA,Fall 2018,University of Hawai`i at Manoa,1,2018
17178,NY,Fall 2018,University of Hawai`i at Manoa,1,2018
17179,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17180,CA,Fall 2018,University of Hawai`i at Manoa,2,2018
17181,NM,Fall 2018,University of Hawai`i at Manoa,1,2018
17182,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17183,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17185,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17186,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17187,HI,Fall 2018,University of Hawai`i at Manoa,1,2018
17188,NV,Fall 2018,University of Hawai`i at Manoa,1,2018
17189,CO,Fall 2018,University of Hawai`i at Manoa,3,2018
17190,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17191,WA,Fall 2018,University of Hawai`i at Manoa,1,2018
17192,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17193,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17194,CO,Fall 2018,University of Hawai`i at Manoa,1,2018
17197,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17198,WA,Fall 2018,University of Hawai`i at Manoa,1,2018
17199,WA,Fall 2018,University of Hawai`i at Manoa,1,2018
17200,WI,Fall 2018,University of Hawai`i at Manoa,1,2018
17201,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17202,nan,Fall 2018,University of Hawai`i at Manoa,1,2018
17203,NM,Fall 2018,University of Hawai`i at Manoa,1,2018
17204,TX,Fall 2018,University of Hawai`i at Manoa,1,2018
17206,CA,Fall 2018,University of Hawai`i at Manoa,2,2018
17207,IN,Fall 2018,University of Hawai`i at Manoa,1,2018
17208,HI,Fall 2018,University of Hawai`i at Manoa,1,2018
17209,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17210,NY,Fall 2018,University of Hawai`i at Manoa,1,2018
17211,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17212,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17213,OR,Fall 2018,University of Hawai`i at Manoa,1,2018
17214,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17215,FL,Fall 2018,University of Hawai`i at Manoa,1,2018
17216,NY,Fall 2018,University of Hawai`i at Manoa,1,2018
17217,AZ,Fall 2018,University of Hawai`i at Manoa,1,2018
17218,CO,Fall 2018,University of Hawai`i at Manoa,3,2018
17219,HI,Fall 2018,University of Hawai`i at Manoa,1,2018
17220,WA,Fall 2018,University of Hawai`i at Manoa,2,2018
17221,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17222,AZ,Fall 2018,University of Hawai`i at Manoa,1,2018
17223,TX,Fall 2018,University of Hawai`i at Manoa,1,2018
17224,HI,Fall 2018,University of Hawai`i at Manoa,1,2018
17225,HI,Fall 2018,University of Hawai`i at Manoa,1,2018
17226,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17227,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17228,OR,Fall 2018,University of Hawai`i at Manoa,1,2018
17229,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17230,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17231,TX,Fall 2018,University of Hawai`i at Manoa,1,2018
17232,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17233,OR,Fall 2018,University of Hawai`i at Manoa,1,2018
17234,WA,Fall 2018,University of Hawai`i at Manoa,1,2018
17235,WA,Fall 2018,University of Hawai`i at Manoa,1,2018
17236,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17237,CA,Fall 2018,University of Hawai`i at Manoa,2,2018
17238,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17239,IN,Fall 2018,University of Hawai`i at Manoa,1,2018
17240,HI,Fall 2018,University of Hawai`i at Manoa,2,2018
17241,NY,Fall 2018,University of Hawai`i at Manoa,1,2018
17242,OH,Fall 2018,University of Hawai`i at Manoa,1,2018
17243,HI,Fall 2018,University of Hawai`i at Manoa,3,2018
17244,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17245,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17246,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17247,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17248,HI,Fall 2018,University of Hawai`i at Manoa,1,2018
17249,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17250,HI,Fall 2018,University of Hawai`i at Manoa,1,2018
17251,WA,Fall 2018,University of Hawai`i at Manoa,1,2018
17252,NC,Fall 2018,University of Hawai`i at Manoa,1,2018
17253,WA,Fall 2018,University of Hawai`i at Manoa,2,2018
17254,HI,Fall 2018,University of Hawai`i at Manoa,3,2018
17255,HI,Fall 2018,University of Hawai`i at Manoa,1,2018
17257,TX,Fall 2018,University of Hawai`i at Manoa,2,2018
17258,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17259,MI,Fall 2018,University of Hawai`i at Manoa,1,2018
17260,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17261,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17262,NY,Fall 2018,University of Hawai`i at Manoa,1,2018
17263,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17264,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17265,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17266,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17267,HI,Fall 2018,University of Hawai`i at Manoa,1,2018
17269,OR,Fall 2018,University of Hawai`i at Manoa,1,2018
17270,TX,Fall 2018,University of Hawai`i at Manoa,1,2018
17271,MD,Fall 2018,University of Hawai`i at Manoa,1,2018
17272,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17273,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17274,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17275,AK,Fall 2018,University of Hawai`i at Manoa,1,2018
17276,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17277,FL,Fall 2018,University of Hawai`i at Manoa,1,2018
17278,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17279,IL,Fall 2018,University of Hawai`i at Manoa,1,2018
17280,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17281,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17282,WA,Fall 2018,University of Hawai`i at Manoa,1,2018
17283,UT,Fall 2018,University of Hawai`i at Manoa,1,2018
17284,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17285,CA,Fall 2018,University of Hawai`i at Manoa,2,2018
17286,PA,Fall 2018,University of Hawai`i at Manoa,1,2018
17287,WA,Fall 2018,University of Hawai`i at Manoa,1,2018
17288,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17289,NV,Fall 2018,University of Hawai`i at Manoa,1,2018
17290,MD,Fall 2018,University of Hawai`i at Manoa,1,2018
17291,OR,Fall 2018,University of Hawai`i at Manoa,1,2018
17292,HI,Fall 2018,University of Hawai`i at Manoa,1,2018
17293,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17294,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17295,OR,Fall 2018,University of Hawai`i at Manoa,1,2018
17296,WI,Fall 2018,University of Hawai`i at Manoa,1,2018
17297,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17298,NY,Fall 2018,University of Hawai`i at Manoa,1,2018
17299,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17300,HI,Fall 2018,University of Hawai`i at Manoa,1,2018
17301,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17302,VA,Fall 2018,University of Hawai`i at Manoa,1,2018
17303,HI,Fall 2018,University of Hawai`i at Manoa,1,2018
17304,TX,Fall 2018,University of Hawai`i at Manoa,1,2018
17305,MN,Fall 2018,University of Hawai`i at Manoa,1,2018
17306,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17307,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17308,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17309,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17310,HI,Fall 2018,University of Hawai`i at Manoa,1,2018
17311,AZ,Fall 2018,University of Hawai`i at Manoa,1,2018
17313,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17314,HI,Fall 2018,University of Hawai`i at Manoa,1,2018
17315,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17316,FL,Fall 2018,University of Hawai`i at Manoa,1,2018
17317,OR,Fall 2018,University of Hawai`i at Manoa,1,2018
17318,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17319,UT,Fall 2018,University of Hawai`i at Manoa,1,2018
17320,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17321,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17322,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17323,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17324,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17325,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17326,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17327,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17328,NY,Fall 2018,University of Hawai`i at Manoa,1,2018
17329,PA,Fall 2018,University of Hawai`i at Manoa,1,2018
17330,HI,Fall 2018,University of Hawai`i at Manoa,1,2018
17331,AZ,Fall 2018,University of Hawai`i at Manoa,1,2018
17332,GA,Fall 2018,University of Hawai`i at Manoa,1,2018
17333,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17334,MA,Fall 2018,University of Hawai`i at Manoa,1,2018
17335,MT,Fall 2018,University of Hawai`i at Manoa,1,2018
17336,NH,Fall 2018,University of Hawai`i at Manoa,1,2018
17337,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17338,NM,Fall 2018,University of Hawai`i at Manoa,1,2018
17339,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17340,AZ,Fall 2018,University of Hawai`i at Manoa,1,2018
17341,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17342,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17343,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17344,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17345,OK,Fall 2018,University of Hawai`i at Manoa,1,2018
17346,IN,Fall 2018,University of Hawai`i at Manoa,1,2018
17347,UT,Fall 2018,University of Hawai`i at Manoa,1,2018
17348,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17349,TX,Fall 2018,University of Hawai`i at Manoa,1,2018
17350,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17351,PA,Fall 2018,University of Hawai`i at Manoa,1,2018
17352,MN,Fall 2018,University of Hawai`i at Manoa,1,2018
17354,HI,Fall 2018,University of Hawai`i at Manoa,1,2018
17355,HI,Fall 2018,University of Hawai`i at Manoa,1,2018
17356,HI,Fall 2018,University of Hawai`i at Manoa,1,2018
17357,WA,Fall 2018,University of Hawai`i at Manoa,1,2018
17358,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17359,NC,Fall 2018,University of Hawai`i at Manoa,1,2018
17360,AZ,Fall 2018,University of Hawai`i at Manoa,1,2018
17361,NJ,Fall 2018,University of Hawai`i at Manoa,1,2018
17362,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17363,VA,Fall 2018,University of Hawai`i at Manoa,1,2018
17364,TX,Fall 2018,University of Hawai`i at Manoa,1,2018
17365,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17366,CA,Fall 2018,University of Hawai`i at Manoa,1,2018
17367,IN,Fall 2018,University of Hawai`i at Manoa,1,2018
17368,WY,Fall 2018,University of Hawai`i at Manoa,1,2018
17369,OR,Fall 2018,University of Hawai`i at Manoa,1,2018
17370,FL,Fall 2018,University of Hawai`i at Manoa,1,2018
17371,IL,Fall 2018,University of Hawai`i at Manoa,1,2018
17372,nan,Fall 2018,University of Hawai`i at Manoa,1,2018
17373,WA,Fall 2018,University of Hawai`i at Manoa,1,2018
17374,GA,Fall 2018,University of Hawai`i at Manoa,1,2018
17375,MN,Fall 2018,University of Hawai`i at Manoa,1,2018
17376,HI,Fall 2019,University of Hawai`i at Manoa,77,2019
17377,HI,Fall 2019,University of Hawai`i at Manoa,36,2019
17378,HI,Fall 2019,University of Hawai`i at Manoa,3,2019
17379,HI,Fall 2019,University of Hawai`i at Manoa,6,2019
17380,HI,Fall 2019,University of Hawai`i at Manoa,82,2019
17381,CA,Fall 2019,University of Hawai`i at Manoa,1,2019
17382,HI,Fall 2019,University of Hawai`i at Manoa,129,2019
17383,HI,Fall 2019,University of Hawai`i at Manoa,21,2019
17384,HI,Fall 2019,University of Hawai`i at Manoa,21,2019
17385,HI,Fall 2019,University of Hawai`i at Manoa,170,2019
17386,HI,Fall 2019,University of Hawai`i at Manoa,239,2019
17387,HI,Fall 2019,University of Hawai`i at Manoa,5,2019
17388,HI,Fall 2019,University of Hawai`i at Manoa,25,2019
17389,HI,Fall 2019,University of Hawai`i at Manoa,13,2019
17390,HI,Fall 2019,University of Hawai`i at Manoa,64,2019
17391,VA,Fall 2019,University of Hawai`i at Manoa,1,2019
17392,HI,Fall 2019,University of Hawai`i at Manoa,23,2019
17393,HI,Fall 2019,University of Hawai`i at Manoa,37,2019
17394,ID,Fall 2019,University of Hawai`i at Manoa,2,2019
17395,HI,Fall 2019,University of Hawai`i at Manoa,64,2019
17396,HI,Fall 2019,University of Hawai`i at Manoa,29,2019
17397,CA,Fall 2019,University of Hawai`i at Manoa,1,2019
17399,AK,Fall 2019,University of Hawai`i at Manoa,1,2019
17400,MS,Fall 2019,University of Hawai`i at Manoa,1,2019
17401,TN,Fall 2019,University of Hawai`i at Manoa,1,2019
17402,CA,Fall 2019,University of Hawai`i at Manoa,4,2019
17403,CA,Fall 2019,University of Hawai`i at Manoa,1,2019
17404,HI,Fall 2019,University of Hawai`i at Manoa,80,2019
17405,CA,Fall 2019,University of Hawai`i at Manoa,1,2019
17406,HI,Fall 2019,University of Hawai`i at Manoa,11,2019
17407,HI,Fall 2019,University of Hawai`i at Manoa,18,2019
17408,HI,Fall 2019,University of Hawai`i at Manoa,5,2019
17409,CA,Fall 2019,University of Hawai`i at Manoa,2,2019
17410,HI,Fall 2019,University of Hawai`i at Manoa,1,2019
17411,CA,Fall 2019,University of Hawai`i at Manoa,3,2019
17412,CA,Fall 2019,University of Hawai`i at Manoa,1,2019
17413,WA,Fall 2019,University of Hawai`i at Manoa,1,2019
17414,WA,Fall 2019,University of Hawai`i at Manoa,1,2019
17415,WA,Fall 2019,University of Hawai`i at Manoa,1,2019
17416,WI,Fall 2019,University of Hawai`i at Manoa,1,2019
17417,NY,Fall 2019,University of Hawai`i at Manoa,1,2019
17418,HI,Fall 2019,University of Hawai`i at Manoa,86,2019
17419,VT,Fall 2019,University of Hawai`i at Manoa,1,2019
17420,HI,Fall 2019,University of Hawai`i at Manoa,7,2019
17421,HI,Fall 2019,University of Hawai`i at Manoa,7,2019
17422,HI,Fall 2019,University of Hawai`i at Manoa,21,2019
17423,HI,Fall 2019,University of Hawai`i at Manoa,21,2019
17425,HI,Fall 2019,University of Hawai`i at Manoa,9,2019
17426,HI,Fall 2019,University of Hawai`i at Manoa,1,2019
17427,CA,Fall 2019,University of Hawai`i at Manoa,4,2019
17428,HI,Fall 2019,University of Hawai`i at Manoa,14,2019
17429,HI,Fall 2019,University of Hawai`i at Manoa,2,2019
17430,SC,Fall 2019,University of Hawai`i at Manoa,1,2019
17431,CA,Fall 2019,University of Hawai`i at Manoa,1,2019
17432,NY,Fall 2019,University of Hawai`i at Manoa,1,2019
17433,CA,Fall 2019,University of Hawai`i at Manoa,1,2019
17434,MN,Fall 2019,University of Hawai`i at Manoa,1,2019
17435,TN,Fall 2019,University of Hawai`i at Manoa,1,2019
17436,TN,Fall 2019,University of Hawai`i at Manoa,1,2019
17437,IN,Fall 2019,University of Hawai`i at Manoa,1,2019
17438,SD,Fall 2019,University of Hawai`i at Manoa,1,2019
17439,CO,Fall 2019,University of Hawai`i at Manoa,1,2019
17441,WA,Fall 2019,University of Hawai`i at Manoa,2,2019
17442,WA,Fall 2019,University of Hawai`i at Manoa,1,2019
17443,CA,Fall 2019,University of Hawai`i at Manoa,1,2019
17444,CA,Fall 2019,University of Hawai`i at Manoa,1,2019
17445,MO,Fall 2019,University of Hawai`i at Manoa,3,2019
17446,NY,Fall 2019,University of Hawai`i at Manoa,1,2019
17447,PA,Fall 2019,University of Hawai`i at Manoa,1,2019
17448,CA,Fall 2019,University of Hawai`i at Manoa,2,2019
17449,HI,Fall 2019,University of Hawai`i at Manoa,4,2019
17450,HI,Fall 2019,University of Hawai`i at Manoa,3,2019
17451,HI,Fall 2019,University of Hawai`i at Manoa,2,2019
17452,CA,Fall 2019,University of Hawai`i at Manoa,1,2019
17453,CA,Fall 2019,University of Hawai`i at Manoa,1,2019
17454,HI,Fall 2019,University of Hawai`i at Manoa,1,2019
17455,MA,Fall 2019,University of Hawai`i at Manoa,1,2019
17456,HI,Fall 2019,University of Hawai`i at Manoa,3,2019
17457,WA,Fall 2019,University of Hawai`i at Manoa,1,2019
17458,CA,Fall 2019,University of Hawai`i at Manoa,1,2019
17459,CA,Fall 2019,University of Hawai`i at Manoa,1,2019
17460,HI,Fall 2019,University of Hawai`i at Manoa,2,2019
17461,CA,Fall 2019,University of Hawai`i at Manoa,1,2019
17462,HI,Fall 2019,University of Hawai`i at Manoa,4,2019
17463,WA,Fall 2019,University of Hawai`i at Manoa,1,2019
17464,AK,Fall 2019,University of Hawai`i at Manoa,5,2019
17465,CA,Fall 2019,University of Hawai`i at Manoa,1,2019
17466,WA,Fall 2019,University of Hawai`i at Manoa,1,2019
17467,CA,Fall 2019,University of Hawai`i at Manoa,1,2019
17468,VA,Fall 2019,University of Hawai`i at Manoa,2,2019
17469,CA,Fall 2019,University of Hawai`i at Manoa,3,2019
17470,NV,Fall 2019,University of Hawai`i at Manoa,1,2019
17471,MA,Fall 2019,University of Hawai`i at Manoa,1,2019
17472,HI,Fall 2019,University of Hawai`i at Manoa,12,2019
17473,CA,Fall 2019,University of Hawai`i at Manoa,3,2019
17474,VA,Fall 2019,University of Hawai`i at Manoa,1,2019
17475,HI,Fall 2019,University of Hawai`i at Manoa,2,2019
17476,OH,Fall 2019,University of Hawai`i at Manoa,1,2019
17477,HI,Fall 2019,University of Hawai`i at Manoa,4,2019
17478,CA,Fall 2019,University of Hawai`i at Manoa,1,2019
17479,CA,Fall 2019,University of Hawai`i at Manoa,2,2019
17480,HI,Fall 2019,University of Hawai`i at Manoa,4,2019
17481,CA,Fall 2019,University of Hawai`i at Manoa,1,2019
17482,CA,Fall 2019,University of Hawai`i at Manoa,1,2019
17483,WA,Fall 2019,University of Hawai`i at Manoa,1,2019
17484,CA,Fall 2019,University of Hawai`i at Manoa,2,2019
17485,NJ,Fall 2019,University of Hawai`i at Manoa,1,2019
17486,HI,Fall 2019,University of Hawai`i at Manoa,3,2019
17487,HI,Fall 2019,University of Hawai`i at Manoa,1,2019
17488,CA,Fall 2019,University of Hawai`i at Manoa,3,2019
17489,HI,Fall 2019,University of Hawai`i at Manoa,1,2019
17490,DC,Fall 2019,University of Hawai`i at Manoa,1,2019
17491,HI,Fall 2019,University of Hawai`i at Manoa,3,2019
17492,VA,Fall 2019,University of Hawai`i at Manoa,1,2019
17493,TN,Fall 2019,University of Hawai`i at Manoa,1,2019
17494,HI,Fall 2019,University of Hawai`i at Manoa,3,2019
17495,CA,Fall 2019,University of Hawai`i at Manoa,1,2019
17496,HI,Fall 2019,University of Hawai`i at Manoa,9,2019
17497,CA,Fall 2019,University of Hawai`i at Manoa,4,2019
17498,HI,Fall 2019,University of Hawai`i at Manoa,1,2019
17499,HI,Fall 2019,University of Hawai`i at Manoa,3,2019
17500,CA,Fall 2019,University of Hawai`i at Manoa,2,2019
17501,NJ,Fall 2019,University of Hawai`i at Manoa,1,2019
17502,CA,Fall 2019,University of Hawai`i at Manoa,1,2019
17503,CA,Fall 2019,University of Hawai`i at Manoa,1,2019
17504,ID,Fall 2019,University of Hawai`i at Manoa,2,2019
17505,CO,Fall 2019,University of Hawai`i at Manoa,1,2019
17506,CA,Fall 2019,University of Hawai`i at Manoa,1,2019
17507,NE,Fall 2019,University of Hawai`i at Manoa,2,2019
17508,CO,Fall 2019,University of Hawai`i at Manoa,1,2019
17509,CA,Fall 2019,University of Hawai`i at Manoa,2,2019
